date,loading_port,discharge_port,cargo_type,vessel_class,quantity_mt,distance_nm,sea_days,port_days,total_voyage_days,bdi,bunker_price,iron_ore_price,coking_coal_price,thermal_coal_price,steel_hrc_price,port_congestion,month,quarter,day_of_year,is_monsoon,freight_rate
2023-06-01,Beira,Paradip,Coking Coal,Panamax,77650,4200,12.6,6.2,19.4,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,17.96
2023-06-01,Beira,Visakhapatnam,Coking Coal,Panamax,66422,4000,12.4,5.9,18.4,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,17.88
2023-06-01,Beira,Visakhapatnam,Coking Coal,Handysize,14143,4000,12.4,5.0,17.4,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,10.7
2023-06-01,Dampier,Paradip,Iron Ore,Capesize,128706,4180,12.0,8.3,21.1,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,18.8
2023-06-01,Dampier,Visakhapatnam,Iron Ore,Handysize,15694,4450,13.7,5.1,18.9,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,8.61
2023-06-01,Hampton Roads,Haldia,Thermal Coal,Panamax,76922,10000,30.0,8.3,38.3,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,20.19
2023-06-01,Hampton Roads,Paradip,Coking Coal,Panamax,78610,9800,28.9,8.1,37.9,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,21.36
2023-06-01,Hampton Roads,Paradip,Coking Coal,Handysize,29498,9800,29.2,5.7,35.7,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,14.21
2023-06-01,Hampton Roads,Visakhapatnam,Coking Coal,Handysize,33095,9600,29.9,7.6,37.5,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,13.95
2023-06-01,Hampton Roads,Visakhapatnam,Coking Coal,Panamax,72152,9600,27.4,8.9,36.4,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,21.58
2023-06-01,Hay Point,Paradip,Coking Coal,Supramax,42999,5400,16.3,6.9,24.1,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,15.25
2023-06-01,Hay Point,Visakhapatnam,Coking Coal,Capesize,130320,5250,15.6,8.3,24.0,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,21.39
2023-06-01,Hay Point,Visakhapatnam,Coking Coal,Handysize,18826,5250,16.4,6.8,23.2,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,11.29
2023-06-01,Muara Berau,Haldia,Thermal Coal,Supramax,47143,3350,9.8,8.2,17.9,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,13.03
2023-06-01,Muara Berau,Paradip,Thermal Coal,Handysize,27121,3200,10.2,6.9,17.9,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,9.18
2023-06-01,Nacala,Paradip,Thermal Coal,Supramax,59059,3900,11.5,7.6,19.4,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,13.19
2023-06-01,Nacala,Visakhapatnam,Thermal Coal,Supramax,52111,3700,10.5,7.5,18.0,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,12.83
